Note: MODS requires iso-639-2b. (B) and (T) codes are included below.,,,
ISO 639-2 Code,English name of Language,ISO 639-2 in MMS,instances
nds,"Low German; Low Saxon; German, Low; Saxon, Low",nds,1
nep,Nepali,,0
new,Nepal Bhasa; Newari,,0
nia,Nias,,0
nic,Niger-Kordofanian languages,,0
niu,Niuean,,0
nno,"Norwegian Nynorsk; Nynorsk, Norwegian",,0
nob,"Bokmål, Norwegian; Norwegian Bokmål",,0
nog,Nogai,,0
non,"Norse, Old",,0
nor,Norwegian,nor,11
nqo,N'Ko,,0
nso,Pedi; Sepedi; Northern Sotho,,0
nub,Nubian languages,,0
nwc,Classical Newari; Old Newari; Classical Nepal Bhasa,,0
nya,Chichewa; Chewa; Nyanja,,0
nym,Nyamwezi,,0
nyn,Nyankole,,0
nyo,Nyoro,,0
nzi,Nzima,,0
oci,Occitan (post 1500),,0
oji,Ojibwa,,0
ori,Oriya,,0
orm,Oromo,,0
osa,Osage,,0
oss,Ossetian; Ossetic,,0
ota,"Turkish, Ottoman (1500-1928)",,0
oto,Otomian languages,,0
paa,Papuan languages,,0
pag,Pangasinan,,0
pal,Pahlavi,,0
pam,Pampanga; Kapampangan,,0
pan,Panjabi; Punjabi,,0
pap,Papiamento,,0
pau,Palauan,,0
peo,"Persian, Old (ca.600-400 B.C.)",,0
per (B),Persian,,0
fas (T),Persian,,0
phi,Philippine languages,,0
phn,Phoenician,,0
pli,Pali,pli,1
pol,Polish,pol,23
pon,Pohnpeian,,0
por,Portuguese,por,34
pra,Prakrit languages,pra,4
pro,"Provençal, Old (to 1500);Occitan, Old (to 1500)",,0
pus,Pushto; Pashto,,0
qaa-qtz,Reserved for local use,,0
que,Quechua,que,2
raj,Rajasthani,,0
rap,Rapanui,,0
rar,Rarotongan; Cook Islands Maori,,0
roa,Romance languages,,0
roh,Romansh,,0
rom,Romany,rom,3
rum (B),Romanian; Moldavian; Moldovan,rum,6
ron (T),Romanian; Moldavian; Moldovan,,0
run,Rundi,,0
rup,Aromanian; Arumanian; Macedo-Romanian,,0
rus,Russian,rus,150
sad,Sandawe,,0
sag,Sango,,0
sah,Yakut,,0
sai,South American Indian languages,,0
sal,Salishan languages,,0
sam,Samaritan Aramaic,,0
san,Sanskrit,,0
sas,Sasak,,0
sat,Santali,,0
scn,Sicilian,,0
sco,Scots,,0
sel,Selkup,,0
sem,Semitic languages,,0
sga,"Irish, Old (to 900)",,0
sgn,Sign Languages,sgn,1
shn,Shan,,0
sid,Sidamo,,0
sin,Sinhala; Sinhalese,,0
sio,Siouan languages,,0
sit,Sino-Tibetan languages,,0
sla,Slavic languages,,0
slo (B),Slovak,,0
slk (T),Slovak,,0
slv,Slovenian,slv,1
sma,Southern Sami,,0
sme,Northern Sami,,0
smi,Sami languages,,0
smj,Lule Sami,,0
smn,Inari Sami,,0
smo,Samoan,,0
sms,Skolt Sami,,0
sna,Shona,,0
snd,Sindhi,,0
snk,Soninke,,0
sog,Sogdian,,0
som,Somali,,0
son,Songhai languages,,0
sot,"Sotho, Southern",,0
spa,Spanish; Castilian,spa,151
srd,Sardinian,,0
srn,Sranan Tongo,,0
srp,Serbian,srp,1
srr,Serer,,0
ssa,Nilo-Saharan languages,,0
ssw,Swati,,0
suk,Sukuma,,0
sun,Sundanese,,0
sus,Susu,,0
sux,Sumerian,,0
swa,Swahili,,0
swe,Swedish,swe,13
syc,Classical Syriac,,0
syr,Syriac,,0
tah,Tahitian,,0
tai,Tai languages,,0
tam,Tamil,tam,1
tat,Tatar,,0
tel,Telugu,tel,1
tem,Timne,,0
ter,Tereno,,0
tet,Tetum,,0
tgk,Tajik,,0
tgl,Tagalog,,0
tha,Thai,,0
tib (B),Tibetan,,0
bod (T),Tibetan,,0
tig,Tigre,,0
tir,Tigrinya,,0
tiv,Tiv,,0
tkl,Tokelau,,0
tlh,Klingon; tlhIngan-Hol,,0
tli,Tlingit,,0
tmh,Tamashek,,0
tog,Tonga (Nyasa),,0
ton,Tonga (Tonga Islands),,0
tpi,Tok Pisin,,0
tsi,Tsimshian,,0
tsn,Tswana,,0
tso,Tsonga,,0
tuk,Turkmen,,0
tum,Tumbuka,,0
tup,Tupi languages,,0
tur,Turkish,,0
tut,Altaic languages,tut,1
tvl,Tuvalu,,0
twi,Twi,,0
tyv,Tuvinian,,0
udm,Udmurt,,0
uga,Ugaritic,,0
uig,Uighur; Uyghur,,0
ukr,Ukrainian,ukr,2
umb,Umbundu,,0
und,Undetermined,und,12
urd,Urdu,,0
uzb,Uzbek,,0
vai,Vai,,0
ven,Venda,,0
vie,Vietnamese,,0
vol,Volapük,,0
vot,Votic,,0
wak,Wakashan languages,,0
wal,Wolaitta; Wolaytta,,0
war,Waray,,0
was,Washo,,0
wel (B),Welsh,,0
cym (T),Welsh,,0
wen,Sorbian languages,,0
wln,Walloon,wol,1
wol,Wolof,,0
xal,Kalmyk; Oirat,,0
xho,Xhosa,,0
yao,Yao,,0
yap,Yapese,,0
yid,Yiddish,yid,1423
yor,Yoruba,,0
ypk,Yupik languages,ypk,3
zap,Zapotec,,0
zbl,Blissymbols; Blissymbolics; Bliss,,0
zen,Zenaga,,0
zgh,Standard Moroccan Tamazight,,0
zha,Zhuang; Chuang,,0
znd,Zande languages,,0
zul,Zulu,zul,1
zun,Zuni,,0
zxx,No linguistic content; Not applicable,zxx,16
zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,0
